time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-28T03:18:09.330Z,19.6351,-65.6281,91,3.96,md,7,289,1.3718,0.48,pr,pr2023148000,2023-05-28T04:25:21.324Z,"135 km N of Suárez, Puerto Rico",earthquake,9.31,18.41,0,3,reviewed,pr,pr
2023-05-28T02:06:19.111Z,-23.4194,-70.0663,36.412,4.6,mwr,45,128,0.844,0.63,us,us7000k4jl,2023-05-28T05:32:05.727Z,"42 km NE of Antofagasta, Chile",earthquake,4.9,3.068,,,reviewed,us,guc
2023-05-28T01:17:42.975Z,54.3029,161.4609,65.421,4.4,mb,43,134,2.107,1.11,us,us7000k4jg,2023-05-28T01:31:35.040Z,"186 km SE of Atlasovo, Russia",earthquake,6.55,7.841,0.062,75,reviewed,us,us
2023-05-28T00:04:22.480Z,19.2504997253418,-155.402328491211,32.7799987792969,2.51,ml,55,129,,0.109999999,hv,hv73425267,2023-05-28T01:52:31.040Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.44,0.479999989,3.07,31,automatic,hv,hv
2023-05-27T23:44:33.230Z,44.7778333333333,-114.401,11.29,2.51,ml,22,44,0.4556,0.22,mb,mb90015993,2023-05-29T14:32:15.200Z,"33 km NNW of Challis, Idaho",earthquake,0.52,0.84,0.21216440794606,28,reviewed,mb,mb
2023-05-27T23:16:00.090Z,44.7618333333333,-114.416166666667,2.64,2.68,ml,16,66,0.4598,0.17,mb,mb90015973,2023-05-28T14:21:46.740Z,"32 km NNW of Challis, Idaho",earthquake,0.55,5.38,0.217906531656917,36,reviewed,mb,mb
2023-05-27T23:14:33.632Z,44.777,-114.3922,10,2.5,ml,11,90,0.461,0.62,us,us7000k4j2,2023-05-28T13:19:51.110Z,"32 km NNW of Challis, Idaho",earthquake,1.94,1.993,0.052,48,reviewed,us,us
2023-05-27T21:36:33.239Z,26.9942,92.668,10,4.4,mb,12,133,3.021,0.83,us,us7000k4iq,2023-05-28T03:34:00.961Z,"17 km N of Rangāpāra, India",earthquake,6.64,1.935,0.241,5,reviewed,us,us
2023-05-27T20:11:28.960Z,19.4885,-64.296,50,3.81,md,7,317,1.3141,0.16,pr,pr2023147004,2023-05-27T20:57:17.040Z,"138 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,3.27,10.84,0.09,4,reviewed,pr,pr
2023-05-27T19:36:35.921Z,-6.1201,130.4491,151.945,4.9,mww,92,32,1.677,0.77,us,us7000k4i5,2023-05-29T18:34:23.040Z,"260 km WSW of Tual, Indonesia",earthquake,7.65,5.049,0.089,12,reviewed,us,us
