FID,Rock Name,Rock Type,Aquifer Name,Aquifer Code,Shape__Area,Shape__Length
3873,Carbonate-rock,400,Floridan Aquifer System,413,532431.8926,2743.735885
3874,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,6346625.455,14472.39454
3875,Carbonate-rock,400,Floridan Aquifer System,413,521920.1367,3027.143628
3876,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,4648906.51,12245.95117
3877,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,725666.3984,3238.861466
3878,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,3007052.66,7435.935632
3879,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,2373834.461,6941.728036
3880,Semiconsolidated sand,200,Coastal Lowlands Aquifer System,201,3111482.752,10132.00504
3882,Carbonate-rock,400,Floridan Aquifer System,413,535123.8008,2941.405155
3883,Carbonate-rock,400,Floridan Aquifer System,413,564462.5859,2933.348224
3884,Carbonate-rock,400,Floridan Aquifer System,413,535308.5859,2950.586826
3885,Carbonate-rock,400,Floridan Aquifer System,413,522859.8086,2715.844781
3886,Carbonate-rock,400,Floridan Aquifer System,413,349694.7676,2233.439674
3887,Carbonate-rock,400,Floridan Aquifer System,413,508715.3926,2717.09419
3888,Carbonate-rock,400,Floridan Aquifer System,413,513276.6875,2704.409605
3889,Carbonate-rock,400,Floridan Aquifer System,413,516691.1484,2706.016384
3890,Carbonate-rock,400,Floridan Aquifer System,413,471461.4434,2627.493839
3891,Carbonate-rock,400,Floridan Aquifer System,413,511680.5469,2699.145865
3892,Carbonate-rock,400,Floridan Aquifer System,413,525162.5918,2739.41932
3893,Carbonate-rock,400,Floridan Aquifer System,413,2053785.803,7040.751283
3894,Carbonate-rock,400,Floridan Aquifer System,413,930697.6289,3716.390679
3895,Carbonate-rock,400,Floridan Aquifer System,413,1365515.293,5124.36749
3896,Carbonate-rock,400,Floridan Aquifer System,413,496458.2754,2696.663448
3897,Carbonate-rock,400,Floridan Aquifer System,413,513583.9551,2705.508684
