,latitude,longitude,elevation,time,geometry
1527,44.49070466682315,-120.40007122792304,1422.2,2023-01-06 22:44:11+00:00,POINT (-120.40007122792304 44.49070466682315)
1528,44.49061808176339,-120.40000274777412,1421.2,2023-01-06 22:44:17+00:00,POINT (-120.40000274777412 44.49061808176339)
1529,44.490557396784425,-120.39997207000852,1419.8,2023-01-06 22:44:20+00:00,POINT (-120.39997207000852 44.490557396784425)
1530,44.490500735118985,-120.39993904531002,1418.6,2023-01-06 22:44:24+00:00,POINT (-120.39993904531002 44.490500735118985)
1531,44.49049201793969,-120.39993099868298,1418.2,2023-01-06 22:44:25+00:00,POINT (-120.39993099868298 44.49049201793969)
1532,44.49047257192433,-120.39990660734475,1417.4,2023-01-06 22:44:28+00:00,POINT (-120.39990660734475 44.49047257192433)
1533,44.490458490327,-120.3998948726803,1417.0,2023-01-06 22:44:29+00:00,POINT (-120.3998948726803 44.490458490327)
1534,44.49044667184353,-120.39988808333874,1416.8,2023-01-06 22:44:30+00:00,POINT (-120.39988808333874 44.49044667184353)
1535,44.49043217115104,-120.39988003671169,1416.6,2023-01-06 22:44:31+00:00,POINT (-120.39988003671169 44.49043217115104)
1536,44.49041406624019,-120.39987408556044,1416.0,2023-01-06 22:44:32+00:00,POINT (-120.39987408556044 44.49041406624019)
1537,44.490337036550045,-120.39982052519917,1414.8,2023-01-06 22:44:37+00:00,POINT (-120.39982052519917 44.490337036550045)
1538,44.49029579758644,-120.39978724904358,1414.2,2023-01-06 22:44:39+00:00,POINT (-120.39978724904358 44.49029579758644)
1539,44.49026285670698,-120.39977425709367,1413.6,2023-01-06 22:44:41+00:00,POINT (-120.39977425709367 44.49026285670698)
1540,44.490260342136025,-120.39976445026696,1412.4,2023-01-06 22:44:44+00:00,POINT (-120.39976445026696 44.490260342136025)
1541,44.49026461690664,-120.39976369589567,1412.2,2023-01-06 22:44:45+00:00,POINT (-120.39976369589567 44.49026461690664)
1542,44.490279871970415,-120.39977149106562,1412.0,2023-01-06 22:44:52+00:00,POINT (-120.39977149106562 44.490279871970415)
1543,44.490264700725675,-120.39974165149033,1412.0,2023-01-06 22:44:57+00:00,POINT (-120.39974165149033 44.490264700725675)
1544,44.49026193469763,-120.39972933009267,1411.8,2023-01-06 22:45:06+00:00,POINT (-120.39972933009267 44.49026193469763)
1545,44.49026193469763,-120.39972396567464,1411.6,2023-01-06 22:45:17+00:00,POINT (-120.39972396567464 44.49026193469763)
1546,44.49020057916641,-120.39967250078917,1411.2,2023-01-06 22:45:30+00:00,POINT (-120.39967250078917 44.49020057916641)
1547,44.49017400853336,-120.39965598843992,1411.0,2023-01-06 22:45:32+00:00,POINT (-120.39965598843992 44.49017400853336)
1548,44.4900768622756,-120.39957786910236,1410.4,2023-01-06 22:45:39+00:00,POINT (-120.39957786910236 44.4900768622756)
1549,44.490069821476936,-120.39956747554243,1410.4,2023-01-06 22:45:40+00:00,POINT (-120.39956747554243 44.490069821476936)
1550,44.4900631159544,-120.39955582469702,1410.2,2023-01-06 22:45:41+00:00,POINT (-120.39955582469702 44.4900631159544)
1551,44.490006789565086,-120.39950612001121,1409.6,2023-01-06 22:45:49+00:00,POINT (-120.39950612001121 44.490006789565086)
1552,44.48998759500682,-120.39947368204594,1409.2,2023-01-06 22:45:52+00:00,POINT (-120.39947368204594 44.48998759500682)
1553,44.48996588587761,-120.39941257797182,1408.8,2023-01-06 22:45:55+00:00,POINT (-120.39941257797182 44.48996588587761)
1554,44.48992154560983,-120.39937083609402,1408.2,2023-01-06 22:45:58+00:00,POINT (-120.39937083609402 44.48992154560983)
1555,44.489897238090634,-120.39935683831573,1408.0,2023-01-06 22:45:59+00:00,POINT (-120.39935683831573 44.489897238090634)
